id,entrez_gene_id,hugo_symbol,hgnc_id,id,reference_genome,ensembl_transcript_id,canonical,ensembl_protein_id,reference_sequence_id,description,ensembl_gene_id,gene_id
12128,973,CD79A,1698,1807,GRCh37,ENST00000221972.3,1,ENSP00000221972.3,NM_001783.3,,1531,12128
2887,2057,EPOR,3416,3713,GRCh37,ENST00000222139.6,1,ENSP00000222139.5,NM_000121.3,,3142,2887
39805,5296,PIK3R2,8980,9188,GRCh37,ENST00000222254.8,1,ENSP00000222254.6,NM_005027.3,,7749,39805
271,9757,KMT2B,15840,16835,GRCh37,ENST00000222270.7,1,ENSP00000222270.6,NM_014727.1,,14169,271
34098,2077,ERF,3444,3747,GRCh37,ENST00000222329.4,1,ENSP00000222329.3,NM_006494.2,,3174,34098
20646,3082,HGF,4893,5425,GRCh37,ENST00000222390.5,1,ENSP00000222390.5,NM_000601.4,,4570,20646
42049,3209,HOXA13,5102,5692,GRCh37,ENST00000222753.4,1,ENSP00000222753.4,NM_000522.4,,4798,42049
7897,6198,RPS6KB1,10436,10862,GRCh37,ENST00000225577.4,1,ENSP00000225577.4,NM_003161.3,,9161,7897
38931,1655,DDX5,2746,3046,GRCh37,ENST00000225792.5,1,ENSP00000225792.5,NM_004396,,2580,38931
33775,6928,HNF1B,11630,12327,GRCh37,ENST00000225893.4,1,ENSP00000225893.3,NM_001165923,,10376,33775
19810,1277,COL1A1,2197,2324,GRCh37,ENST00000225964.5,1,ENSP00000225964.5,NM_000088,,1968,19810
12200,8929,PHOX2B,9143,15311,GRCh37,ENST00000226382.2,1,ENSP00000226382.2,NM_003924.3,,12903,12200
1965,595,CCND1,1582,1077,GRCh37,ENST00000227507.2,1,ENSP00000227507.2,NM_053056.2,,914,1965
26690,2735,GLI1,4317,4724,GRCh37,ENST00000228682.2,1,ENSP00000228682.2,NM_005269.2,,3977,26690
23519,2251,FGF6,3684,4055,GRCh37,ENST00000228837.2,1,ENSP00000228837.2,NM_020996,,3426,23519
30115,1027,CDKN1B,1785,1917,GRCh37,ENST00000228872.4,1,ENSP00000228872.4,NM_004064.3,,1624,30115
24008,11021,RAB35,9774,19405,GRCh37,ENST00000229340.5,1,ENSP00000229340.5,NM_006861.6,,16293,24008
14308,2178,FANCE,3586,3909,GRCh37,ENST00000229769.2,1,ENSP00000229769.2,NM_021922,,3306,14308
30570,5754,PTK7,9618,10069,GRCh37,ENST00000230419.4,1,ENSP00000230419.4,NM_002821,NM_002821.4,8493,30570
32111,4292,MLH1,7127,7534,GRCh37,ENST00000231790.2,1,ENSP00000231790.2,NM_000249.3,,6366,32111
12290,51185,CRBN,30185,25868,GRCh37,ENST00000231948.4,1,ENSP00000231948.4,NM_016302.3,,21976,12290
3872,604,BCL6,1001,1095,GRCh37,ENST00000232014.4,1,ENSP00000232014.4,NM_001706.4,,930,3872
21991,26528,DAZAP1,2683,22719,GRCh37,ENST00000233078.4,1,ENSP00000233078.3,NM_018959.3,,19086,21991
33139,4436,MSH2,7325,7683,GRCh37,ENST00000233146.2,1,ENSP00000233146.2,NM_000251.2,,6483,33139
724,55120,FANCL,20748,28116,GRCh37,ENST00000233741.4,1,ENSP00000233741.4,NM_018062.3,,23924,724
40578,2956,MSH6,7329,5186,GRCh37,ENST00000234420.5,1,ENSP00000234420.4,NM_000179.2,,4355,40578
38351,607,BCL9,1008,1103,GRCh37,ENST00000234739.3,1,ENSP00000234739.3,NM_004326.3,,936,38351
22985,10459,MAD2L2,6764,18298,GRCh37,ENST00000235310.3,1,ENSP00000235310.2,NM_001127325.1,,15370,22985
23660,471,ATIC,794,869,GRCh37,ENST00000236959.9,1,ENSP00000236959.9,NM_004044,,736,23660
1944,7128,TNFAIP3,11896,12733,GRCh37,ENST00000237289.4,1,ENSP00000237289.4,NM_006290.3,,10725,1944
27943,6446,SGK1,10810,11332,GRCh37,ENST00000237305.7,1,ENSP00000237305.7,NM_005627.3,,9551,27943
22328,8074,FGF23,3680,13966,GRCh37,ENST00000237837.1,1,ENSP00000237837.1,NM_020638,,11742,22328
12659,22936,ELL2,17064,20274,GRCh37,ENST00000237853.4,1,ENSP00000237853.4,NM_012081.5,,17026,12659
3707,11064,CNTRL,1858,19488,GRCh37,ENST00000238341.5,1,ENSP00000238341.5,NM_007018,,16368,3707
24475,1958,EGR1,3238,3510,GRCh37,ENST00000239938.4,1,ENSP00000239938.4,NM_001964.2,,2972,24475
30279,1846,DUSP4,3070,3364,GRCh37,ENST00000240100.2,1,ENSP00000240100.2,NM_001394.6,,2846,30279
29143,7852,CXCR4,2561,13807,GRCh37,ENST00000241393.3,1,ENSP00000241393.3,NM_003467.2,,11604,29143
31644,92,ACVR2A,173,171,GRCh37,ENST00000241416.7,1,ENSP00000241416.7,NM_001278579,,141,31644
20899,2322,FLT3,3765,4208,GRCh37,ENST00000241453.7,1,ENSP00000241453.7,NM_004119.2,,3547,20899
2257,3624,INHBA,6066,6334,GRCh37,ENST00000242208.4,1,ENSP00000242208.4,NM_002192.2,,5351,2257
24474,1959,EGR2,3239,3512,GRCh37,ENST00000242480.3,1,ENSP00000242480.3,NM_001136177.1,,2974,24474
2254,3623,INHA,6065,6332,GRCh37,ENST00000243786.2,1,ENSP00000243786.2,NM_002191.3,,5349,2254
22123,3007,H1-3,4717,5289,GRCh37,ENST00000244534.5,1,ENSP00000244534.5,NM_005320.2,,4450,22123
22541,8339,H2BC8,4746,14202,GRCh37,ENST00000244601.3,1,ENSP00000244601.3,NM_003518,,11952,22541
33435,8358,H3C2,4776,14238,GRCh37,ENST00000244661.2,1,ENSP00000244661.2,NM_003537.3,,11984,33435
30116,1026,CDKN1A,1784,1915,GRCh37,ENST00000244741.5,1,ENSP00000244741.5,NM_078467.2,,1622,30116
27252,3659,IRF1,6116,6393,GRCh37,ENST00000245414.4,1,ENSP00000245414.4,NM_002198.2,,5401,27252
35734,6662,SOX9,11204,11789,GRCh37,ENST00000245479.2,1,ENSP00000245479.2,NM_000346.3,,9936,35734
12131,970,CD70,11937,1800,GRCh37,ENST00000245903.3,1,ENSP00000245903.2,NM_001252,,1525,12131
32193,6237,RRAS,10447,10931,GRCh37,ENST00000246792.3,1,ENSP00000246792.2,NM_006270.3,,9221,32193
22054,7186,TRAF2,12032,12858,GRCh37,ENST00000247668.2,1,ENSP00000247668.2,NM_021138.3,,10823,22054
5757,10365,KLF2,6347,18123,GRCh37,ENST00000248071.5,1,ENSP00000248071.4,NM_016270.2,,15219,5757
27191,14,AAMP,18,20,GRCh37,ENST00000248450.4,1,ENSP00000248450.4,,,17,27191
12967,5880,RAC2,9802,10277,GRCh37,ENST00000249071.6,1,ENSP00000249071.6,NM_002872.4,,8671,12967
9841,6608,SMO,11119,11675,GRCh37,ENST00000249373.3,1,ENSP00000249373.3,NM_005631.4,,9832,9841
41852,90417,KNSTRN,30767,37124,GRCh37,ENST00000249776.8,1,ENSP00000249776.8,NM_033286.3,,31629,41852
27683,8930,MBD4,6919,15313,GRCh37,ENST00000249910.1,1,ENSP00000249910.1,NM_003925,,12905,27683
26245,4654,MYOD1,7611,8009,GRCh37,ENST00000250003.3,1,ENSP00000250003.3,NM_002478.4,,6770,26245
41628,9098,USP6,12629,15578,GRCh37,ENST00000250066.6,1,ENSP00000250066.6,NM_004505,,13119,41628
12134,599,BCL2L2,995,1086,GRCh37,ENST00000250405.5,1,ENSP00000250405.5,NM_004050,,922,12134
40067,3169,FOXA1,5021,5608,GRCh37,ENST00000250448.2,1,ENSP00000250448.2,NM_004496.3,,4730,40067
28539,5894,RAF1,9829,10308,GRCh37,ENST00000251849.4,1,ENSP00000251849.4,NM_002880.3,,8697,28539
38773,2006,ELN,3327,3606,GRCh37,ENST00000252034.7,1,ENSP00000252034.7,NM_001278915,,3050,38773
32103,4298,MLLT1,7134,7549,GRCh37,ENST00000252674.7,1,ENSP00000252674.6,NM_005934.3,,6378,32103
5276,83667,SESN2,20746,35071,GRCh37,ENST00000253063.3,1,ENSP00000253063.3,NM_031459.4,,29889,5276
2076,9113,LATS1,6514,15606,GRCh37,ENST00000253339.5,1,ENSP00000253339.5,NM_004690.3,,13141,2076
24958,5914,RARA,9864,10352,GRCh37,ENST00000254066.5,1,ENSP00000254066.5,NM_000964.3,,8733,24958
16737,2521,FUS,4010,4333,GRCh37,ENST00000254108.7,1,ENSP00000254108.7,NM_004960,,3659,16737
8650,3337,DNAJB1,5270,5895,GRCh37,ENST00000254322.2,1,ENSP00000254322.1,NM_006145.1,,4972,8650
11267,3021,H3-3B,4765,5313,GRCh37,ENST00000254810.4,1,ENSP00000254810.3,NM_005324.3,,4470,11267
31897,694,BTG1,1130,1271,GRCh37,ENST00000256015.3,1,ENSP00000256015.3,NM_001731.2,,1078,31897
37125,22800,RRAS2,17271,20017,GRCh37,ENST00000256196.4,1,ENSP00000256196.4,NM_012250.5,,16806,37125
25469,7428,VHL,12687,13226,GRCh37,ENST00000256474.2,1,ENSP00000256474.2,NM_000551.3,,11139,25469
38776,4853,NOTCH2,7882,8385,GRCh37,ENST00000256646.2,1,ENSP00000256646.2,NM_024408.3,,7076,38776
23364,1643,DDB2,2718,3018,GRCh37,ENST00000256996.4,1,ENSP00000256996.3,NM_000107,,2560,23364
10061,2346,FOLH1,3788,4243,GRCh37,ENST00000256999.2,1,ENSP00000256999.2,NM_004476,,3577,10061
25541,9698,PUM1,14957,16696,GRCh37,ENST00000257075.5,1,ENSP00000257075.5,NM_014676,,14061,25541
40876,187,APLNR,339,361,GRCh37,ENST00000257254.3,1,ENSP00000257254.3,NM_005161.4,,297,40876
41828,5156,PDGFRA,8803,8916,GRCh37,ENST00000257290.5,1,ENSP00000257290.5,NM_006206.4,,7521,41828
39008,324,APC,583,610,GRCh37,ENST00000257430.4,1,ENSP00000257430.4,NM_000038.5,,504,39008
17477,4440,MSI1,7330,7692,GRCh37,ENST00000257552.2,1,ENSP00000257552.2,NM_002442.3,,6491,17477
34385,6927,HNF1A,11621,12325,GRCh37,ENST00000257555.6,1,ENSP00000257555.4,NM_000545.5,,10374,34385
37698,6926,TBX3,11602,12322,GRCh37,ENST00000257566.3,1,ENSP00000257566.3,NM_016569.3,,10372,37698
30277,1840,DTX1,3060,3351,GRCh37,ENST00000257600.3,1,ENSP00000257600.3,NM_004416.2,,2834,30277
21505,60468,BACH2,14078,31319,GRCh37,ENST00000257749.4,1,ENSP00000257749.4,NM_001170794.1,,26630,21505
34865,1019,CDK4,1773,1901,GRCh37,ENST00000257904.6,1,ENSP00000257904.5,NM_000075.3,,1610,34865
31641,91,ACVR1B,172,169,GRCh37,ENST00000257963.4,1,ENSP00000257963.4,NM_004302,,139,31641
15101,55654,TMEM127,26038,28894,GRCh37,ENST00000258439.3,1,ENSP00000258439.2,NM_017849.3,,24590,15101
25999,160428,ALDH1L2,26777,42846,GRCh37,ENST00000258494.9,1,ENSP00000258494.9,NM_001034173,,36646,25999
12030,83990,BRIP1,20473,35338,GRCh37,ENST00000259008.2,1,ENSP00000259008.2,NM_032043.2,,30108,12030
30223,11143,KAT7,17016,19642,GRCh37,ENST00000259021.4,1,ENSP00000259021.4,NM_007067,,16494,30223
11666,1588,CYP19A1,2594,2907,GRCh37,ENST00000260433.2,1,ENSP00000260433.2,NM_000103.3,,2468,11666
20762,2261,FGFR3,3690,4083,GRCh37,ENST00000260795.2,1,ENSP00000260795.2,NM_000142.5,,3446,20762
28482,580,BARD1,952,1055,GRCh37,ENST00000260947.4,1,ENSP00000260947.4,NM_000465.2,,894,28482
30677,894,CCND2,1583,1647,GRCh37,ENST00000261254.3,1,ENSP00000261254.3,NM_001759.3,,1387,30677
1473,4040,LRP6,6698,7076,GRCh37,ENST00000261349.4,1,ENSP00000261349.4,NM_002336.2,,5988,1473
37045,51274,KLF3,16516,26015,GRCh37,ENST00000261438.5,1,ENSP00000261438.5,NM_016531.5,,22105,37045
31691,7188,TRAF5,12035,12863,GRCh37,ENST00000261464.5,1,ENSP00000261464.5,NM_001033910.2,,10827,31691
21401,79728,PALB2,26144,33222,GRCh37,ENST00000261584.4,1,ENSP00000261584.4,NM_024675.3,,28274,21401
32741,217,ALDH2,404,412,GRCh37,ENST00000261733.2,1,ENSP00000261733.2,NM_000690,,339,32741
41604,999,CDH1,1748,1855,GRCh37,ENST00000261769.5,1,ENSP00000261769.4,NM_004360.3,,1569,41604
41818,5159,PDGFRB,8804,8923,GRCh37,ENST00000261799.4,1,ENSP00000261799.4,NM_002609.3,,7527,41818
38336,605,BCL7A,1004,1099,GRCh37,ENST00000261822.4,1,ENSP00000261822.4,NM_001024808,,932,38336
20903,2324,FLT4,3767,4213,GRCh37,ENST00000261937.6,1,ENSP00000261937.6,NM_182925.4,,3551,20903
24285,5289,PIK3C3,8974,9170,GRCh37,ENST00000262039.4,1,ENSP00000262039.3,NM_002647.2,,7735,24285
39145,466,ATF1,783,860,GRCh37,ENST00000262053.3,1,ENSP00000262053.3,NM_005171.4,,728,39145
24721,4087,SMAD2,6768,7169,GRCh37,ENST00000262160.6,1,ENSP00000262160.6,NM_001003652.3,,6070,24721
20737,6009,RHEB,10011,10548,GRCh37,ENST00000262187.5,1,ENSP00000262187.5,NM_005614.3,,8899,20737
36614,58508,KMT2C,13726,31162,GRCh37,ENST00000262189.6,1,ENSP00000262189.6,NM_170606.2,,26502,36614
38063,7528,YY1,12856,13387,GRCh37,ENST00000262238.4,1,ENSP00000262238.4,NM_003403.4,,11269,38063
18428,79817,MOB3B,23825,33385,GRCh37,ENST00000262244.5,1,ENSP00000262244.5,NM_024761.4,,28410,18428
11739,8312,AXIN1,903,14147,GRCh37,ENST00000262320.3,1,ENSP00000262320.3,NM_003502.3,,11903,11739
24026,1387,CREBBP,2348,2535,GRCh37,ENST00000262367.5,1,ENSP00000262367.5,NM_004380.2,,2148,24026
1671,2294,FOXF1,3809,4148,GRCh37,ENST00000262426.4,1,ENSP00000262426.4,NM_001451.2,,3493,1671
32953,9739,SETD1A,29010,16794,GRCh37,ENST00000262519.8,1,ENSP00000262519.8,NM_014712.2,,14137,32953
24444,9368,NHERF1,11075,16046,GRCh37,ENST00000262613.5,1,ENSP00000262613.5,NM_004252,,13517,24444
30681,898,CCNE1,1589,1655,GRCh37,ENST00000262643.3,1,ENSP00000262643.3,NM_001238.2,,1395,30681
3693,1031,CDKN2C,1789,1928,GRCh37,ENST00000262662.1,1,ENSP00000262662.1,NM_078626.2,,1632,3693
30611,84962,AJUBA,20250,36526,GRCh37,ENST00000262713.2,1,ENSP00000262713.2,NM_032876.5,,31124,30611
15879,23239,PHLPP1,20610,20841,GRCh37,ENST00000262719.5,1,ENSP00000262719.4,NM_194449,,17492,15879
21965,8503,PIK3R3,8981,14479,GRCh37,ENST00000262741.5,1,ENSP00000262741.5,NM_003629.3,,12196,21965
35897,5976,UPF1,9962,10467,GRCh37,ENST00000262803.5,1,ENSP00000262803.4,NM_002911.3,,8833,35897
2542,8178,ELL,23114,14031,GRCh37,ENST00000262809.4,1,ENSP00000262809.3,NM_006532,,11803,2542
37869,5063,PAK3,8592,8737,GRCh37,ENST00000262836.4,1,ENSP00000262836.4,NM_001128173,,7374,37869
28909,25939,SAMHD1,15925,22090,GRCh37,ENST00000262878.4,1,ENSP00000262878.4,NM_015474.3,,18540,28909
5404,7515,XRCC1,12828,13367,GRCh37,ENST00000262887.5,1,ENSP00000262887.4,NM_006297,,11255,5404
37394,5605,MAP2K2,6842,9798,GRCh37,ENST00000262948.5,1,ENSP00000262948.3,NM_030662.3,,8255,37394
2529,7089,TLE2,11838,12645,GRCh37,ENST00000262953.6,1,ENSP00000262953.5,NM_003260.4,,10649,2529
20996,8821,INPP4B,6075,15096,GRCh37,ENST00000262992.4,1,ENSP00000262992.4,NM_001101669.1,,12724,20996
27606,2549,GAB1,4066,4394,GRCh37,ENST00000262995.4,1,ENSP00000262995.4,,,3702,27606
33249,5595,MAPK3,6877,9776,GRCh37,ENST00000263025.4,1,ENSP00000263025.4,NM_002746.2,,8235,33249
6947,6598,SMARCB1,11103,11652,GRCh37,ENST00000263121.7,1,ENSP00000263121.7,NM_003073.3,,9813,6947
22735,7290,HIRA,4916,12980,GRCh37,ENST00000263208.5,1,ENSP00000263208.5,NM_003325,,10925,22735
12367,2033,EP300,3373,3658,GRCh37,ENST00000263253.7,1,ENSP00000263253.7,NM_001429.3,,3094,12367
16636,8726,EED,3188,14920,GRCh37,ENST00000263360.6,1,ENSP00000263360.6,NM_003797.3,,12571,16636
13342,23476,BRD4,13575,21281,GRCh37,ENST00000263377.2,1,ENSP00000263377.1,NM_058243.2,,17854,13342
22360,4854,NOTCH3,7883,8387,GRCh37,ENST00000263388.2,1,ENSP00000263388.1,NM_000435.2,,7078,22360
12580,330,BIRC3,591,622,GRCh37,ENST00000263464.3,1,ENSP00000263464.3,NM_182962.2,,516,12580
19391,1820,ARID3A,3031,3307,GRCh37,ENST00000263620.3,1,ENSP00000263620.2,NM_005224.2,,2796,19391
31642,90,ACVR1,171,165,GRCh37,ENST00000263640.3,1,ENSP00000263640.3,NM_001111067.2,,137,31642
12366,2034,EPAS1,3374,3660,GRCh37,ENST00000263734.3,1,ENSP00000263734.3,NM_001430.4,,3096,12366
38850,4072,EPCAM,11529,7147,GRCh37,ENST00000263735.4,1,ENSP00000263735.4,NM_002354.2,,6052,38850
27995,4058,LTK,6721,7115,GRCh37,ENST00000263800.6,1,ENSP00000263800.6,NM_002344,,6024,27995
25358,10000,AKT3,393,17340,GRCh37,ENST00000263826.5,1,ENSP00000263826.5,NM_005465.4,,14590,25358
3452,3791,KDR,6307,6661,GRCh37,ENST00000263923.4,1,ENSP00000263923.4,NM_002253.2,,5627,3452
39811,5290,PIK3CA,8975,9172,GRCh37,ENST00000263967.3,1,ENSP00000263967.3,NM_006218.2,,7737,39811
2129,10664,CTCF,13723,18723,GRCh37,ENST00000264010.4,1,ENSP00000264010.4,NM_006565.3,,15720,2129
20084,867,CBL,1541,1608,GRCh37,ENST00000264033.4,1,ENSP00000264033.3,NM_005188.3,,1355,20084
38397,868,CBLB,1542,1610,GRCh37,ENST00000264122.4,1,ENSP00000264122.4,NM_170662.3,,1357,38397
14838,51742,ARID4B,15550,26663,GRCh37,ENST00000264183.3,1,ENSP00000264183.3,NM_001206794.1,,22663,14838
28629,7531,YWHAE,12851,13392,GRCh37,ENST00000264335.8,1,ENSP00000264335.8,NM_006761.4,,11273,28629
40113,8452,CUL3,2553,14386,GRCh37,ENST00000264414.4,1,ENSP00000264414.4,NM_003590.4,,12118,40113
388,6774,STAT3,11364,12015,GRCh37,ENST00000264657.5,1,ENSP00000264657.4,NM_139276.2,,10122,388
23515,2255,FGF10,3666,4065,GRCh37,ENST00000264664.4,1,ENSP00000264664.4,NM_004465,,3434,23515
862,790,CAD,1424,1450,GRCh37,ENST00000264705.4,1,ENSP00000264705.3,NM_001306079,,1229,862
30696,1788,DNMT3A,2978,3236,GRCh37,ENST00000264709.3,1,ENSP00000264709.3,NM_022552.4,,2738,30696
23974,8626,TP63,15979,14725,GRCh37,ENST00000264731.3,1,ENSP00000264731.3,NM_003722.4,,12407,23974
9350,6389,SDHA,10680,11229,GRCh37,ENST00000264932.6,1,ENSP00000264932.6,NM_004168.2,,9467,9350
11608,9175,MAP3K13,6852,15720,GRCh37,ENST00000265026.3,1,ENSP00000265026.3,NM_004721.4,,13237,11608
33138,4437,MSH3,7326,7685,GRCh37,ENST00000265081.6,1,ENSP00000265081.6,NM_002439.4,,6485,33138
16918,51176,LEF1,6551,25855,GRCh37,ENST00000265165.1,1,ENSP00000265165.1,NM_016269,,21964,16918
38905,10111,RAD50,9816,17579,GRCh37,ENST00000265335.6,1,ENSP00000265335.6,NM_005732.3,,14782,38905
18956,27125,AFF4,17869,23267,GRCh37,ENST00000265343.5,1,ENSP00000265343.5,NM_014423,,19581,18956
40964,11059,WWP1,17004,19476,GRCh37,ENST00000265428.4,1,ENSP00000265428.4,NM_007013.3,,16358,40964
20161,4683,NBN,7652,8058,GRCh37,ENST00000265433.3,1,ENSP00000265433.3,NM_002485.4,,6812,20161
8436,7994,KAT6A,13013,13919,GRCh37,ENST00000265713.2,1,ENSP00000265713.2,NM_006766.4,,11700,8436
1035,5243,ABCB1,40,9070,GRCh37,ENST00000265724.3,1,ENSP00000265724.3,NM_000927.4,,7655,1035
30117,1021,CDK6,1777,1905,GRCh37,ENST00000265734.4,1,ENSP00000265734.4,NM_001145306.1,,1614,30117
37885,5395,PMS2,9122,9381,GRCh37,ENST00000265849.7,1,ENSP00000265849.7,NM_000535.5,,7911,37885
24048,55749,CCAR1,24236,29080,GRCh37,ENST00000265872.6,1,ENSP00000265872.6,NM_018237.2,,24748,24048
15670,79109,MAPKAP1,18752,32596,GRCh37,ENST00000265960.3,1,ENSP00000265960.3,NM_001006617.1,,27715,15670
24286,5288,PIK3C2G,8973,9167,GRCh37,ENST00000266497.5,1,ENSP00000266497.5,NM_004570.4,,7733,24286
7004,55500,ETNK1,24649,28662,GRCh37,ENST00000266517.4,1,ENSP00000266517.3,NM_018638.4,,24390,7004
143,8549,LGR5,4504,14585,GRCh37,ENST00000266674.5,1,ENSP00000266674.4,NM_003667,,12284,143
29536,429,ASCL1,738,804,GRCh37,ENST00000266744.3,1,ENSP00000266744.3,NM_004316.3,,680,29536
7707,2065,ERBB3,3431,3725,GRCh37,ENST00000267101.3,1,ENSP00000267101.3,NM_001982.3,,3154,7707
29654,5925,RB1,9884,10378,GRCh37,ENST00000267163.4,1,ENSP00000267163.4,NM_000321.2,,8755,29654
14264,57697,FANCM,23168,30929,GRCh37,ENST00000267430.5,1,ENSP00000267430.5,NM_020937,,26308,14264
14989,2252,FGF7,3685,4057,GRCh37,ENST00000267843.4,1,ENSP00000267843.4,NM_002009,,3428,14989
12973,5888,RAD51,9817,10294,GRCh37,ENST00000267868.3,1,ENSP00000267868.3,NM_002875.4,,8685,12973
9132,3480,IGF1R,5465,6087,GRCh37,ENST00000268035.6,1,ENSP00000268035.6,NM_000875.3,,5138,9132
9529,5371,PML,9113,9353,GRCh37,ENST00000268058.3,1,ENSP00000268058.3,NM_033238,,7885,9529
7920,5428,POLG,9179,9421,GRCh37,ENST00000268124.5,1,ENSP00000268124.5,NM_001126131,,7946,7920
26873,5045,FURIN,8568,8704,GRCh37,ENST00000268171.3,1,ENSP00000268171.2,NM_001289823.1,,7348,26873
20997,8826,IQGAP1,6110,15106,GRCh37,ENST00000268182.5,1,ENSP00000268182.5,NM_003870,,12734,20997
24924,463,ZFHX3,777,858,GRCh37,ENST00000268489.5,1,ENSP00000268489.5,NM_006885.3,,726,24924
19250,1009,CDH11,1750,1877,GRCh37,ENST00000268603.4,1,ENSP00000268603.4,NM_001797,,1589,19250
17893,3394,IRF8,5358,5968,GRCh37,ENST00000268638.5,1,ENSP00000268638.4,NM_002163.2,,5034,17893
38399,863,CBFA2T3,1537,1597,GRCh37,ENST00000268679.4,1,ENSP00000268679.4,NM_005187,,1347,38399
24100,9611,NCOR1,7672,16505,GRCh37,ENST00000268712.3,1,ENSP00000268712.2,NM_006311.3,,13910,24100
19259,1000,CDH2,1759,1857,GRCh37,ENST00000269141.3,1,ENSP00000269141.3,NM_001792,,1571,19259
21332,80816,ASXL3,29357,34227,GRCh37,ENST00000269197.5,1,ENSP00000269197.4,NM_030632.1,,29129,21332
26012,114799,ESCO1,24645,38328,GRCh37,ENST00000269214.5,1,ENSP00000269214.4,NM_052911.2,,32667,26012
19965,2627,GATA6,4174,4531,GRCh37,ENST00000269216.3,1,ENSP00000269216.3,NM_005257,,3813,19965
6101,7157,TP53,11998,12791,GRCh37,ENST00000269305.4,1,ENSP00000269305.4,NM_000546.5,,10771,6101
27146,79755,ZNF750,25843,33274,GRCh37,ENST00000269394.3,1,ENSP00000269394.3,NM_024702.2,,28320,27146
